Date,Category,Sub Category,Sub-Sub Category,Type,Description,Amount,Department,Checker
Feb 20,Payroll Expense,Employee Payroll,,Expense,Addtnl Salary,"₱2,011.00",Store,
Feb 21,Sales,Sales,Sales,Income,SALES,"₱9,634.29",Store,
Feb 21,Payroll Expense,Employee Payroll,,Expense,Sent to Carol (Salary),"₱6,539.00",Store,
Feb 21,Cost of Goods Sold,Bar,Supplies,Expense,Ice,₱96.00,Bar,
Feb 22,Sales,Sales,Sales,Income,SALES,"₱14,391.61",Store,
Feb 22,Uncategorized,,,Expense,Cash Transfer to Gcash,"₱1,000.00",Store,
Feb 22,Cost of Goods Sold,Kitchen,Supplies,Expense,Cucumber,₱58.00,Kitchen,
Feb 22,Cost of Goods Sold,Bar,Supplies,Expense,Water,₱270.00,Bar,
Feb 23,Sales,Sales,Sales,Income,SALES,"₱1,287.05",Store,
Feb 23,Payroll Expense,Service Charge Distribution,,Expense,"SC for Admins CJ, Carol, Dylan","₱4,709.00",Store,
Feb 24,Sales,Sales,Sales,Income,SALES,"₱4,781.92",Store,
Feb 24,Cleaning & Sanitation,Cleaning & Janitorial,Cleaning Supplies,Expense,Dishwashing Liquid,₱95.00,Bar,
Feb 24,Cost of Goods Sold,Bakery,Delivery Fee,Expense,Delivery Fee (Kataifi),₱130.00,Bakery,
Feb 24,Cost of Goods Sold,Kitchen,Supplies,Expense,Purchase Order Kitchen,"₱6,111.50",Kitchen,
Feb 24,Cost of Goods Sold,Bakery,Supplies,Expense,Purchase Order bakery,"₱2,366.00",Bakery,
Feb 24,Delivery & Logistics,Parking Fee,,Expense,Purchase Order Gas/Parking,"₱1,050.00",Store,
Feb 25,Sales,Sales,Sales,Income,SALES,"₱8,751.68",Store,
Feb 25,Cost of Goods Sold,Bakery,Packaging & Disposables,Expense,Plastic Bag,₱70.00,Bar,
Feb 25,Cost of Goods Sold,Bar,Delivery Fee,Expense,Delivery Fee for Bar Items,₱105.00,Bar,
Feb 25,Cost of Goods Sold,Kitchen,Supplies,Expense,Purchase Order Kitchen,"₱4,244.29",Kitchen,
Feb 25,Cost of Goods Sold,Bakery,Supplies,Expense,Purchase Order Bakery,"₱1,290.00",Bakery,
Feb 25,Cost of Goods Sold,Bar,Supplies,Expense,Purchase Order Bar,"₱1,436.00",Bar,
Feb 25,Delivery & Logistics,Parking Fee,,Expense,Purchase Order Gas/Parking,₱50.00,Store,
Feb 26,Sales,Sales,Sales,Income,SALES,"₱4,588.53",Store,
Feb 26,Cost of Goods Sold,Bakery,Supplies,Expense,Parcel (kataifi),₱130.00,Bakery,
Feb 26,Cost of Goods Sold,Bar,Supplies,Expense,Water,₱240.00,Bar,
Feb 26,Cost of Goods Sold,Kitchen,Supplies,Expense,Kesong Puti,₱428.00,Kitchen,
Feb 26,Cost of Goods Sold,Bakery,Packaging & Disposables,Expense,Dubai Choco Box,₱132.00,Bakery,
Feb 27,Sales,Sales,Sales,Income,SALES,"₱6,357.51",Store,
Feb 27,Cleaning & Sanitation,Cleaning & Janitorial,Cleaning Supplies,Expense,Dishwashing Liquid,₱528.00,Bar,
Feb 27,Delivery & Logistics,Delivery Fee,,Expense,Delivery Fee (Dishwashing Liquid),₱95.00,Bar,
Feb 27,Delivery & Logistics,,,Expense,"World Trade Event Expenses (Gas,Toll Fee,Parking)","₱1,420.00",Store,
Feb 28,Sales,Sales,Sales,Income,SALES,"₱3,645.45",Store,
Feb 28,Cost of Goods Sold,Bar,Supplies,Expense,Ice,₱220.00,Bar,
Mar 01,Sales,Sales,Sales,Income,SALES,"₱11,875.41",Store,
Mar 01,Cost of Goods Sold,Kitchen,Supplies,Expense,Cooked Rice,₱75.00,Kitchen,
Mar 01,Cost of Goods Sold,Bakery,Delivery Fee,Expense,Pastachio via Lalamove,₱330.00,Bakery,
Mar 01,Cost of Goods Sold,Bakery,Supplies,Expense,Baking Goods & Supplies,"₱1,000.00",Bakery,
Mar 01,Cost of Goods Sold,Bakery,Supplies,Expense,Baking Goods & Supplies,"₱1,107.00",Bakery,
Mar 01,Cost of Goods Sold,Kitchen,Staff Meal,Expense,"Liver Spread, Tomato Paiste",₱75.00,Kitchen,
Mar 01,Cost of Goods Sold,Kitchen,Supplies,Expense,Boneless Bangus & Broccoli,"₱1,864.25",Kitchen,
Mar 01,Office Expense,Meal,,Expense,Admin Dinner (Hongkong Cheff),"₱3,085.00",Store,
Mar 02,Sales,Sales,Sales,Income,SALES,"₱2,734.11",Store,
Mar 02,Cost of Goods Sold,Bar,Supplies,Expense,Water,₱300.00,Bar,
Mar 02,Cost of Goods Sold,Kitchen,Staff Meal,Expense,Sotanghon (Staff MEal),₱80.75,Kitchen,
Mar 03,Sales,Sales,Sales,Income,SALES,"₱6,442.59",Store,
Mar 03,Cost of Goods Sold,Bar,Supplies,Expense,Ice,₱220.00,Bar,
Mar 03,Cost of Goods Sold,Kitchen,Supplies,Expense,Purchase Order Kitchen,"₱3,764.00",Kitchen,
Mar 03,Cost of Goods Sold,Bakery,Supplies,Expense,Purchase Order Bakery,"₱2,817.50",Bakery,
Mar 03,Cost of Goods Sold,Bar,Supplies,Expense,Purchase Order Bar,"₱1,412.00",Bar,
Mar 03,Delivery & Logistics,Parking Fee,,Expense,Purchase Order Gas/Parking,"₱1,020.00",Store,
Mar 04,Sales,Sales,Sales,Income,SALES,"₱6,218.70",Store,
Mar 04,Cost of Goods Sold,Bakery,Supplies,Expense,White Chocolate,₱433.00,Bakery,
Mar 04,Office Expense,Office Supplies,,Expense,Illustration Board,₱20.00,Store,
Mar 04,Cost of Goods Sold,Bakery,Delivery Fee,Expense,Delivery Fee (Marshmallow),₱127.00,Bakery,
Mar 04,Cost of Goods Sold,Kitchen,Supplies,Expense,Purchase Order Kitchen,"₱7,536.10",Kitchen,
Mar 04,Cost of Goods Sold,Bakery,Supplies,Expense,Purchase Order Bakery,"₱1,462.00",Bakery,
Mar 04,Delivery & Logistics,Parking Fee, ,Expense,Purchase Order Gas/Parking,₱60.00,Store,
,,,,,,₱0.00,,
,,,,,,₱0.00,,
,,,,,,₱0.00,,
,,,,,,₱0.00,,
,,,,,,₱0.00,,
,,,,,,₱0.00,,
,,,,,,₱0.00,,
